,index,job_title,company,city,description,technologies,position_level,contract,model_work,exp_date,url
287,287,Data Engineer,Ailleron,Kraków,"Twój zakres obowiązków, Rozwój i optymalizacja przepływów danych: Projektowanie, budowanie i utrzymywanie wydajnych, skalowalnych i niezawodnych potoków danych ETL/ELT w celu pozyskiwania, przetwarzania i przekształcania dużych ilości...","{Python,SQL,""Snowflake Data Cloud""}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-06-20,"https://www.pracuj.pl/praca/data-engineer-krakow,oferta,1004113440"
288,288,System (Linux) Administrator,SQUARE ONE RESOURCES sp. z o.o.,Lublin,"Twój zakres obowiązków, Zarządzanie systemami Linux: Administracja i konserwacja serwerów opartych na systemie Linux, z preferencją dla dystrybucji Debian., Automatyzacja procesów: Tworzenie skryptów i automatyzowanie zadań administracyjnych w...","{Python,Bash,Perl,Linux,Debian,Prometheus,Grafana,Kubernetes,Puppet,Ansible,MariaDB,Redis}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-13,"https://www.pracuj.pl/praca/system-linux-administrator-lublin,oferta,1004165685"
289,289,Specjalista ds. Monitoringu i Automatyzacji IT,Rossmann SDP,"Łódź, Bałuty","Twój zakres obowiązków, utrzymanie i konfiguracja systemów monitorujących systemy IT oraz platformy do automatyzacji procesów,, tworzenie i aktualizacja dokumentacji technicznej,, przekazywanie wiedzy z obszaru monitoringu i platform automatyzacji...","{Zabbix,DataDog,Grafana,Monit24,""Windows Server"",PowerShell,Python}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/specjalista-ds-monitoringu-i-automatyzacji-it-lodz-wersalska-75-77,oferta,1004172166"
290,290,System (Linux) Administrator,SQUARE ONE RESOURCES sp. z o.o.,Warszawa,"Twój zakres obowiązków, Zarządzanie systemami Linux: Administracja i konserwacja serwerów opartych na systemie Linux, z preferencją dla dystrybucji Debian., Automatyzacja procesów: Tworzenie skryptów i automatyzowanie zadań administracyjnych w...","{Python,Bash,Perl,Linux,Debian,Prometheus,Grafana,Kubernetes,Puppet,Ansible,MariaDB,Redis}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-13,"https://www.pracuj.pl/praca/system-linux-administrator-warszawa,oferta,1004165674"
291,291,Programista Power BI,Team Connect Sp. z o.o.,Gdańsk,"Twój zakres obowiązków, Obecnie poszukujemy Programistów Power BI do projektu realizowanego w instytucji publicznej odpowiedzialnej za rozwój i zarządzanie cyfrowymi usługami w systemie ochrony zdrowia w Polsce. Jednostka ta pełni kluczową rolę w...","{""Microsoft Power BI"",DAX,SQL,Python,ETL}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-06-22,"https://www.pracuj.pl/praca/programista-power-bi-gdansk,oferta,1004118951"
292,292,Inżynier ds. Data Center,Rossmann SDP,"Łódź, Bałuty","Twój zakres obowiązków, utrzymanie, konfiguracja i rozwój infrastruktury sieciowej Data Center opartej na technologii Cisco ACI,, diagnozowanie i rozwiązywanie problemów sieciowych w środowisku fizycznym i wirtualnym (troubleshooting L2/L3 oraz...","{""Cisco ACI"",Cisco,Nexus,Catalyst,ACI,VMware,vCenter,Ansible,Python,Terraform,""REST API"",""Cisco Nexus Dashboard"",AWS,GCP}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B"",""Umowa na zastępstwo""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/inzynier-ds-data-center-lodz-wersalska-75-77,oferta,1004172140"
293,293,System (Linux) Administrator,SQUARE ONE RESOURCES sp. z o.o.,Poznań,"Twój zakres obowiązków, Zarządzanie systemami Linux: Administracja i konserwacja serwerów opartych na systemie Linux, z preferencją dla dystrybucji Debian., Automatyzacja procesów: Tworzenie skryptów i automatyzowanie zadań administracyjnych w...","{Python,Bash,Perl,Linux,Debian,Prometheus,Grafana,Kubernetes,Puppet,Ansible,MariaDB,Redis}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-13,"https://www.pracuj.pl/praca/system-linux-administrator-poznan,oferta,1004165665"
294,294,Release Engineer,Visiona Sp. z o.o.,"Kraków, Czyżyny","Twój zakres obowiązków, udział w planowaniu budowania i wdrażanie zmian w systemach własnych i klientów, koordynacja wdrożeń, harmonogramowanie, deployment, współpraca z zespołami DEV, QA, ADMIN w celu poprawnej realizacji wdrożenia, zarządzenie...","{Linux,unix,Python,""RDBMS Oracle"",SQL,Ansible}","{""Specjalista (Mid / Regular)"",""Młodszy specjalista (Junior)""}","{""Umowa o pracę"",""Umowa zlecenie"",""Kontrakt B2B""}","{""Praca stacjonarna"",""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/release-engineer-krakow-profesora-michala-zyczkowskiego-14,oferta,1004172127"
295,295,Architekt IT (Hurtownia Danych),BCF Software Sp. z o.o.,Warszawa,"Twój zakres obowiązków, Projektowanie i dokumentowanie architektury rozwiązań IT dla złożonych systemów, Udział w analizach wydajności i niezawodności oraz ocenie bezpieczeństwa rozwiązań, Szacowanie złożoności i pracochłonności zadań...","{PostgreSQL,""Oracle DB"",SQL,Python,Jira,""Enterprise Architect"",""MS Project""}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-07-06,"https://www.pracuj.pl/praca/architekt-it-hurtownia-danych-warszawa,oferta,1004150200"
296,296,DevOps Engineer for SmartThings Pro,Samsung R&D Institute Poland,"Warszawa, Wola","Your responsibilities, Participate in designing and building of Cloud based IoT solution, Configuration, development and integration of CI/CD processes, Building Cloud Infrastructure, Monitoring and support production environments, Supporting...","{Azure,Linux,Terraform,Kubernetes,PostgreSQL,Python,Node.js,Java,Go}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/devops-engineer-for-smartthings-pro-warszawa-plac-europejski-1,oferta,1004107479"
